Column1|CUSEC=poblacion(4)+distrito(2)+mesa(3)|VotosObtenidos|Unnamed: 0|VotosCandidaturas|VotosBlanco|VotosNulos|codigo_prov|codigo_mun|distrito|Comunidad autónoma|Provincia|Código de provincia|Municipio|Código de municipio|Tipo de elemento|Renta media por persona|Renta media por hogar|%FO|VotosObtenidosPSOE|%PSOE|Poblacion_es|%FO_distritos|renta|fecha|elecciones
3915|0801508012|3|3915|1009|08|7|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|14912.0|44684.0|0.3|419|41.53|188291|0.31|uppermid_income|2023-07-23|generales
3916|0801508013|0|3916|537|9|3|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|11901.0|34228.0|0|217|40.41|188291|0.31|uppermid_income|2023-07-23|generales
3917|0801508014|1|3917|421|2|4|08|08015|0801508|Cataluña|Barcelona|08|Badalona|08015|sección|||0.24|162|38.48|188291|0.31|Other|2023-07-23|generales
3918|0801509001|2|3918|563|0|4|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|7906.0|25733.0|0.36|274|48.67|188291|0.35|mid_income|2023-07-23|generales
3919|0801509002|2|3919|405|08|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|5789.0|20843.0|0.49|231|57.04|188291|0.35|low_income|2023-07-23|generales
3920|0801509003|1|3920|335|7|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08520.0|24613.0|0.3|143|42.69|188291|0.35|low_income|2023-07-23|generales
3921|0801509004|0|3921|317|4|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|4043.0|14903.0|0|207|65.3|188291|0.35|low_income|2023-07-23|generales
3922|0801509005|2|3922|379|1|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08051.0|22056.0|0.53|217|57.26|188291|0.35|low_income|2023-07-23|generales
3923|0801509006|1|3923|330|1|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|5961.0|19879.0|0.3|166|50.3|188291|0.35|low_income|2023-07-23|generales
3924|0801509008|2|3924|506|5|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|7873.0|22009.0|0.4|230|45.45|188291|0.35|low_income|2023-07-23|generales
3925|0801509009|1|3925|512|2|4|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11085.0|24904.0|0.2|248|48.44|188291|0.35|mid_income|2023-07-23|generales
3926|0801509010|6|3926|464|3|5|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08772.0|21325.0|1.29|225|48.49|188291|0.35|low_income|2023-07-23|generales
3927|0801509011|3|3927|406|2|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08953.0|23504.0|0.74|185|45.57|188291|0.35|low_income|2023-07-23|generales
3928|0801509012|0|3928|535|6|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08863.0|23519.0|0|279|52.15|188291|0.35|low_income|2023-07-23|generales
3929|0801509013|0|3929|341|5|0|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9725.0|24735.0|0|161|47.21|188291|0.35|low_income|2023-07-23|generales
3930|0801509014|0|3930|667|5|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10148.0|23881.0|0|311|46.63|188291|0.35|low_income|2023-07-23|generales
3931|0801509015|3|3931|587|08|12|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08547.0|24205.0|0.51|280|47.7|188291|0.35|low_income|2023-07-23|generales
3932|0801509016|6|3932|722|10|9|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10347.0|26228.0|0.83|334|46.26|188291|0.35|mid_income|2023-07-23|generales
3933|0801509017|2|3933|399|3|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|6716.0|20126.0|0.5|202|50.63|188291|0.35|low_income|2023-07-23|generales
3934|0801509018|5|3934|655|2|5|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9307.0|25580.0|0.76|305|46.56|188291|0.35|mid_income|2023-07-23|generales
3935|0801509019|1|3935|402|4|6|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9062.0|23452.0|0.25|167|41.54|188291|0.35|low_income|2023-07-23|generales
3936|0801509020|0|3936|339|3|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11753.0|30282.0|0|141|41.59|188291|0.35|mid_income|2023-07-23|generales
3937|0801509021|3|3937|596|5|5|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9174.0|25154.0|0.5|258|43.29|188291|0.35|mid_income|2023-07-23|generales
3938|0801509022|5|3938|559|0|6|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9637.0|22697.0|0.89|231|41.32|188291|0.35|low_income|2023-07-23|generales
3939|0801509023|0|3939|640|1|5|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|08759.0|23679.0|0|314|49.06|188291|0.35|low_income|2023-07-23|generales
3940|0801509024|3|3940|0856|5|3|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10133.0|27184.0|0.35|425|49.65|188291|0.35|mid_income|2023-07-23|generales
3941|0801509025|2|3941|447|5|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9099.0|22803.0|0.45|212|47.43|188291|0.35|low_income|2023-07-23|generales
3942|0801509026|3|3942|568|4|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10902.0|27393.0|0.53|222|39.08|188291|0.35|mid_income|2023-07-23|generales
3943|0801509027|2|3943|335|7|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9087.0|22997.0|0.6|161|48.06|188291|0.35|low_income|2023-07-23|generales
3944|0801509028|2|3944|769|08|7|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|9431.0|27282.0|0.26|341|44.34|188291|0.35|mid_income|2023-07-23|generales
3945|0801509030|0|3945|648|3|0|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10675.0|32698.0|0|278|42.9|188291|0.35|uppermid_income|2023-07-23|generales
3946|0801509031|1|3946|510|6|5|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10689.0|24335.0|0.2|234|45.88|188291|0.35|low_income|2023-07-23|generales
3947|0801509032|0|3947|309|3|4|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|7318.0|20817.0|0|141|45.63|188291|0.35|low_income|2023-07-23|generales
3948|0801509033|6|3948|703|4|2|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|10585.0|26952.0|0.85|349|49.64|188291|0.35|mid_income|2023-07-23|generales
3949|0801509034|1|3949|917|4|1|08|08015|0801509|Cataluña|Barcelona|08|Badalona|08015|sección|11685.0|31101.0|0.11|434|47.33|188291|0.35|mid_income|2023-07-23|generales
